date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:31	18034/18034	---M--	200	added ('OK')	text/css	etag:%225af83f0e-4672%22	http://web.derayah.com/wp-content/plugins/social-pug/assets/css/style-frontend.css?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/plugins/social-pug/assets/css/style-frontend4a41.css	(from http://web.derayah.com/ar/)
14:46:31	10645/10645	---M--	200	added ('OK')	text/css	etag:%225af83f0f-2995%22	http://web.derayah.com/wp-content/plugins/ultimate-faqs/css/ewd-ufaq-styles.css?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/plugins/ultimate-faqs/css/ewd-ufaq-styles4a41.css	(from http://web.derayah.com/ar/)
14:46:32	11079/11079	---M--	200	added ('OK')	text/css	etag:%225af83f0f-2b47%22	http://web.derayah.com/wp-content/plugins/ultimate-faqs/css/rrssb-min.css?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/plugins/ultimate-faqs/css/rrssb-min4a41.css	(from http://web.derayah.com/ar/)
14:46:32	1231/1231	---MC-	200	added ('OK')	application/rss+xml	etag:%2201d046b01b301fe3e6d9851b49291472%22	http://web.derayah.com/ar/feed/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/feed/index.html	(from http://web.derayah.com/ar/)
14:46:32	926/926	---MC-	200	added ('OK')	application/rss+xml	etag:%22ccbad0081c8a6aea4a3760a6842624a5%22	http://web.derayah.com/ar/comments/feed/	C:/My%20Web%20Sites/derayaht/web.derayah.com/ar/comments/feed/index.html	(from http://web.derayah.com/ar/)
14:46:36	298539/298539	---M--	200	added ('OK')	text/css	etag:%225af83f16-48e2b%22	http://web.derayah.com/wp-content/themes/deraya/css/rtl.css?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/css/rtl4a41.css	(from http://web.derayah.com/ar/)
14:46:36	7143/7143	---M--	200	added ('OK')	text/css	etag:%225af83f18-1be7%22	http://web.derayah.com/wp-content/themes/deraya/vendors/ekko-lightbox/ekko-lightbox.css?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/vendors/ekko-lightbox/ekko-lightbox4a41.css	(from http://web.derayah.com/ar/)
14:46:36	1821/1821	---M--	200	added ('OK')	text/css	etag:%225af83f18-71d%22	http://web.derayah.com/wp-content/themes/deraya/vendors/flickity/flickity.min.css?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/themes/deraya/vendors/flickity/flickity.min4a41.css	(from http://web.derayah.com/ar/)
14:46:38	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%225af83f24-2748%22	http://web.derayah.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://web.derayah.com/ar/)
14:46:39	1652/1652	---M--	200	added ('OK')	application/javascript	etag:%225af83f0e-674%22	http://web.derayah.com/wp-content/plugins/social-pug/assets/js/front-end.js?ver=4.8.2	C:/My%20Web%20Sites/derayaht/web.derayah.com/wp-content/plugins/social-pug/assets/js/front-end4a41.js	(from http://web.derayah.com/ar/)
